Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00663059164527123,-0.000443757005428345,-0.0124544770406071,0,0,0,0.0642799463011298,0.00012788855583822,-4.68637135877541E-07,4.57510840882536E-06,0.000159671803517222,5.10141783682572E-05,0.000230735800886499,0,0,0,0,0,0,package://Assem1_urdf/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1_urdf/meshes/base_link.STL,,center-2;center-1;hinge_assembly-1/link_in-1;hinge_assembly-2/link_in-1;hinge_assembly-3/link_in-1;hinge_assembly-4/link_in-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hinge_2,-0.0766063786190889,-0.094771134274111,0.0685711402719996,0,0,0,0.0249388596475328,3.59319455483028E-05,-1.91914140378135E-05,1.06246008065473E-05,2.54915186109624E-05,1.44155345988235E-05,4.37390281143096E-05,0,0,0,0,0,0,package://Assem1_urdf/meshes/hinge_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1_urdf/meshes/hinge_2.STL,,hinge_assembly-1/link_out-1;propeller-2/43-1;propeller-2/05-1;propeller-2/01-1;propeller-2/06-1;propeller-2/08-1;propeller-2/07-1,Coordinate System2,Axis2,hinge2,revolute,0.20659,-0.12801,0.047422,0,0,0,base_link,0.029675,0.46215,0.8863,0,0,0,0,,,,,,,,
rotor_2,2.95302722197431E-05,-0.00104988649027271,-0.00221068957657655,0,0,0,0.00644399418639987,1.31004011071418E-05,-1.10833956703584E-05,5.10398838896428E-06,1.38919686482832E-05,4.96604553008046E-06,2.23828737346972E-05,0,0,0,0,0,0,package://Assem1_urdf/meshes/rotor_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1_urdf/meshes/rotor_2.STL,,48-1,Coordinate System21,Axis21,rotor2,continuous,-0.1054,-0.11263,0.13223,0,0,0,hinge_2,0.012193,-0.42873,-0.90335,,,,,,,,,,,,
hinge_3,0.113610258380443,-0.066362344027266,0.0473668948663512,0,0,0,0.0249388365673588,1.90147662225321E-05,2.03230402965866E-05,-9.63662301497786E-06,3.76828477523843E-05,6.70207175297561E-06,4.84635991577892E-05,0,0,0,0,0,0,package://Assem1_urdf/meshes/hinge_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1_urdf/meshes/hinge_3.STL,,hinge_assembly-2/link_out-1;propeller-4/43-1;propeller-4/05-1;propeller-4/01-1;propeller-4/06-1;propeller-4/08-1;propeller-4/07-1,Coordinate System3,Axis3,hinge3,revolute,0.17071,0.15423,-0.098545,0,0,0,base_link,0.029675,0.46215,0.8863,0,0,0,0,,,,,,,,
rotor_3,8.13825168199389E-05,-0.00129914720324242,-0.00207264038480029,0,0,0,0.00644409720484778,4.08491744444744E-06,-7.96930848421415E-06,4.19491440578657E-06,2.15059314683348E-05,1.67411996487092E-06,2.37847612955688E-05,0,0,0,0,0,0,package://Assem1_urdf/meshes/rotor_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1_urdf/meshes/rotor_3.STL,,49-1,Coordinate System31,Axis31,rotor3,continuous,0.15888,-0.073194,0.10176,0,0,0,hinge_3,0.033001,-0.53096,-0.84675,,,,,,,,,,,,
hinge_4,0.0901564491128639,0.0995402990210753,-0.0382897502240692,0,0,0,0.0249388577313197,3.06673596311067E-05,-2.05495324352358E-05,1.13108372908801E-05,2.94730657485614E-05,1.21542975427686E-05,4.50219305192509E-05,0,0,0,0,0,0,package://Assem1_urdf/meshes/hinge_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1_urdf/meshes/hinge_4.STL,,hinge_assembly-3/link_out-1;propeller-3/43-1;propeller-3/05-1;propeller-3/01-1;propeller-3/06-1;propeller-3/08-1;propeller-3/07-1,Coordinate System4,Axis4,hinge4,revolute,-0.17075,0.15568,-0.08787,0,0,0,base_link,0.029675,0.46215,0.8863,0,0,0,0,,,,,,,,
rotor_4,0.000196496779613586,-0.00196720680955065,-0.00410081089551315,0,0,0,0.00644401971333641,5.06387913916726E-06,8.44244623094866E-06,-5.00612893520301E-06,2.09404920750107E-05,2.20120077872242E-06,2.33706566053972E-05,0,0,0,0,0,0,package://Assem1_urdf/meshes/rotor_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1_urdf/meshes/rotor_4.STL,,50-1,Coordinate System41,Axis41,rotor4,continuous,0.12598,0.15631,-0.017708,0,0,0,hinge_4,0.043803,-0.43233,-0.90065,,,,,,,,,,,,
hinge_5,-0.118831768401381,0.0719079746162121,-0.0165342292727982,0,0,0,0.0249388764323699,1.55406167141378E-05,1.91255898594345E-05,-8.62317923218837E-06,4.03320758722714E-05,5.1988626534092E-06,4.92892172046226E-05,0,0,0,0,0,0,package://Assem1_urdf/meshes/hinge_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1_urdf/meshes/hinge_5.STL,,hinge_assembly-4/link_out-1;propeller-1/43-1;propeller-1/05-1;propeller-1/01-1;propeller-1/06-1;propeller-1/07-1;propeller-1/08-1,Coordinate System5,Axis5,hinge5,revolute,-0.15914,-0.16974,0.081425,0,0,0,base_link,0.029675,0.46215,0.8863,0,0,0,0,,,,,,,,
rotor_5,-0.000121922998873647,-0.00104811368962757,-0.00220831965886863,0,0,0,0.0064439567153823,2.34292299042507E-05,4.69848820370818E-06,-2.16288282930354E-06,5.38282041368822E-06,8.90084202745099E-06,2.05629514876919E-05,0,0,0,0,0,0,package://Assem1_urdf/meshes/rotor_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1_urdf/meshes/rotor_5.STL,,51-1,Coordinate System51,Axis51,rotor5,continuous,-0.16391,0.11867,0.013142,0,0,0,hinge_5,-0.049666,-0.42844,-0.9022,,,,,,,,,,,,
